Date	Footfall_count
03-01-2020	1736393
03-02-2020	1877401
03-03-2020	2130015
03-04-2020	2198517
03-05-2020	1844811
03-06-2020	2119867
03-07-2020	1909363
03-08-2020	1617220
03-09-2020	1702686
03-10-2020	1788456
03-11-2020	1714372
03-12-2020	1485553
03-13-2020	1519192
03-14-2020	1257823
03-15-2020	953699
03-16-2020	779631
03-17-2020	620883
03-18-2020	593167
03-19-2020	548132
03-20-2020	454516
03-21-2020	331431
03-22-2020	279018
03-23-2020	239234
03-24-2020	203858
03-25-2020	199644
03-26-2020	184027
03-27-2020	180002
03-28-2020	154080
03-29-2020	146348
03-30-2020	136023
03-31-2020	124021
04-01-2020	129763
04-02-2020	118302
04-03-2020	122029
04-04-2020	108310
04-05-2020	97130
04-06-2020	94931
04-07-2020	104090
04-08-2020	108977
04-09-2020	93645
04-10-2020	90510
04-11-2020	102184
04-12-2020	87534
04-13-2020	90784
04-14-2020	95085
04-15-2020	106385
04-16-2020	97236
04-17-2020	105382
04-18-2020	99344
04-19-2020	92859
04-20-2020	98968
04-21-2020	111627
04-22-2020	123464
04-23-2020	114459
04-24-2020	128875
04-25-2020	119854
04-26-2020	110913
04-27-2020	119629
04-28-2020	154695
04-29-2020	171563
04-30-2020	134261
05-01-2020	170254
05-02-2020	163692
05-03-2020	130601
05-04-2020	140409
05-05-2020	190863
05-06-2020	215444
05-07-2020	169580
05-08-2020	200815
05-09-2020	215645
05-10-2020	163205
05-11-2020	176667
05-12-2020	234928
05-13-2020	250467
05-14-2020	193340
05-15-2020	253807
05-16-2020	244176
05-17-2020	190477
05-18-2020	230367
05-19-2020	318449
05-20-2020	348673
05-21-2020	253190
05-22-2020	267451
05-23-2020	340769
05-24-2020	264843
05-25-2020	261170
05-26-2020	321776
05-27-2020	327133
05-28-2020	268867
05-29-2020	352947
05-30-2020	353261
05-31-2020	267742
06-01-2020	304436
06-02-2020	391882
06-03-2020	419675
06-04-2020	353016
06-05-2020	441255
06-06-2020	430414
06-07-2020	338382
06-08-2020	386969
06-09-2020	502209
06-10-2020	519304
06-11-2020	437119
06-13-2020	544046
06-14-2020	534528
06-15-2020	417924
06-16-2020	441829
06-17-2020	576514
06-18-2020	587908
06-19-2020	507129
06-20-2020	590456
06-21-2020	607540
06-22-2020	471421
06-23-2020	494826
06-24-2020	623624
06-25-2020	632984
06-26-2020	546310
06-27-2020	633810
06-28-2020	625235
06-29-2020	500054
06-30-2020	626516
07-01-2020	764761
07-02-2020	718988
07-03-2020	466669
07-04-2020	732123
07-05-2020	755555
07-06-2020	641761
07-07-2020	632498
07-08-2020	709653
07-09-2020	711124
07-10-2020	656284
07-11-2020	754545
07-12-2020	697985
07-13-2020	540268
07-14-2020	589285
07-15-2020	706164
07-16-2020	720378
07-17-2020	646654
07-18-2020	747422
07-19-2020	695330
07-20-2020	530421
07-21-2020	570951
07-22-2020	704815
07-23-2020	724770
07-24-2020	649027
07-25-2020	751205
07-26-2020	700043
07-27-2020	536756
07-28-2020	573200
07-29-2020	718310
07-30-2020	767320
07-31-2020	709033
08-01-2020	799861
08-02-2020	737235
08-03-2020	543601
08-04-2020	595739
08-05-2020	743599
08-06-2020	762547
08-07-2020	683212
08-08-2020	831789
08-09-2020	761861
08-10-2020	559420
08-11-2020	590749
08-12-2020	761821
08-13-2020	783744
08-14-2020	689895
08-15-2020	862949
08-16-2020	773319
08-17-2020	565946
08-18-2020	586718
08-19-2020	772380
08-20-2020	764468
08-21-2020	625822
08-22-2020	841806
08-23-2020	726788
08-24-2020	523186
08-25-2020	540043
08-26-2020	721060
08-27-2020	738873
08-28-2020	591734
08-29-2020	807695
08-30-2020	711178
08-31-2020	516068
09-01-2020	578131
09-02-2020	877698
09-03-2020	968673
